New_Member?,Pledge_Status,Candidate_ID,CRPName,Party,District,General_Elec_Result,VotePercent,Total_PAC_Money,Number_of_PAC_Contributions,Business_PACs,Labor_PACs,Ideological_PACs,Lead_PACs,Other_PACs,Net_Receipts,Net_Individual_Total,Candidate_Contributions,Large_Indivs,Small_Indivs,Net_Spent
NO,PAC,N00005883,Kevin Brady (R),R,TX08,W,73.50,3018330,1106,2948105,34500,10725,15000,10000,5039143,1460414,0,1436850,23564,5211398
NO,PAC,N00028152,Kevin McCarthy (R),R,CA23,W,65.10,2982208,1010,2918058,39500,19150,5500,0,7732032,566652,0,551066,15586,7087204
NO,PAC,N00007690,Greg Walden (R),R,OR02,W,56.30,2651416,1209,2522866,74500,30550,23500,0,5061828,1857169,0,1671333,185836,3854536
NO,PAC,N00006236,John A Barrasso (R),R,WYS1,W,67.10,2590001,1161,2238270,6000,55831,287400,2500,7365344,3718203,0,3537859,180343,5970640
NO,PAC,N00000153,Richard E Neal (D),D,MA01,W,0.00,2388409,1202,2216109,143000,13300,15000,1000,3130248,739589,0,719607,19982,2984856
NO,PAC,N00029574,Steve Stivers (R),R,OH15,W,58.50,2440022,986,2173734,137500,63788,45000,20000,3878843,1124873,0,1109216,15657,3679012
NO,PAC,N00001821,Steny H Hoyer (D),D,MD05,W,70.30,2384142,864,2024465,298750,56427,0,4500,3898714,1029257,0,992508,36749,3835856
NO,PAC,N00004118,Debbie Stabenow (D),D,MIS2,W,52.30,2673386,1346,1943843,253500,152893,310650,12500,17135664,12119448,0,9205942,2913497,15407317
NO,PAC,N00026627,Patrick McHenry (R),R,NC10,W,59.30,1952906,777,1902206,22500,8200,20000,0,3496042,809267,0,801475,7792,3311437
NO,PAC,N00027503,Bob Casey (D),D,PAS2,W,55.70,2505211,1324,1771256,244250,130955,355000,3750,20841601,15454801,0,11946985,3507806,16454000
NO,PAC,N00026314,Cathy McMorris Rodgers (R),R,WA05,W,54.80,2028958,1011,1731064,8000,97094,192800,0,5758031,2804864,0,2161149,643715,5486875
NO,PAC,N00009660,Steve Scalise (R),R,LA01,W,71.50,1720849,618,1663349,22500,10000,25000,0,9514106,5874665,0,2799096,3075570,7971197
NO,PAC,N00030026,Blaine Luetkemeyer (R),R,MO03,W,65.10,1706028,912,1648128,8000,21000,28900,0,2318259,572645,0,539324,33321,1906788
NO,PAC,N00003280,Roger Wicker (R),R,MSS2,W,58.50,2178394,1065,1637424,27000,82570,425400,6000,6385407,3514317,25,3363229,151087,6124649
NO,PAC,N00004403,Ron Kind (D),D,WI03,W,59.70,1711128,966,1606200,61500,27750,15678,0,2199052,464572,0,272546,192026,1809114
NO,PAC,N00030949,Tom Reed (R),R,NY23,W,55.00,1789667,994,1569846,69000,41200,105471,4150,3305723,1473674,0,1383837,89837,2510364
NO,PAC,N00033443,Deb Fischer (R),R,NES1,W,58.10,1950431,1014,1502292,50583,83856,310700,3000,6195068,3017060,0,2727690,289369,5005590
NO,PAC,N00027605,Jon Tester (D),D,MTS1,W,50.10,2282525,1130,1502072,201500,111253,467700,0,19227650,14666076,0,11333627,3332438,17674961
NO,PAC,N00004961,John M Shimkus (R),R,IL15,W,70.90,1572462,861,1455087,61500,18875,37000,0,1966871,220424,0,182525,37899,1771221
NO,PAC,N00034784,Rodney Davis (R),R,IL13,W,50.40,1828907,1082,1451775,197500,46725,126407,6500,3225700,959309,0,793344,165965,3071639
NO,PAC,N00031233,Andy Barr (R),R,KY06,W,51.00,1890284,969,1422934,14500,112150,339700,1000,4778302,2505157,0,2331909,173248,4382863
NO,PAC,N00000781,Frank Pallone Jr. (D),D,NJ06,W,63.30,1621747,810,1417247,187500,14000,3000,0,2509148,886941,0,860296,26645,1320964
NO,PAC,N00031647,Mike Kelly (R),R,PA16,W,51.60,1595954,843,1408808,58000,49500,76146,3500,2368067,806095,0,764466,41630,2240841
NO,PAC,N00029675,Brett Guthrie (R),R,KY02,W,66.70,1479170,866,1408695,18000,9475,25500,17500,1965308,351492,0,303100,48392,1666509
NO,PAC,N00033399,George Holding (R),R,NC02,W,51.40,1570958,803,1390058,7000,39000,134900,0,2619233,1099817,0,1066198,33619,2389800
YES,PAC,N00003105,Marsha Blackburn (R),R,TNS1,W,54.70,1999876,863,1376172,6000,132604,475100,10000,12713017,8924068,0,7524495,1399570,11819522
YES,PAC,N00033983,Kyrsten Sinema (D),D,AZS2,W,50.00,2346062,1068,1357982,272000,263906,448174,4000,18929335,15569009,0,11235262,4333742,19891427
NO,PAC,N00003535,Sherrod Brown (D),D,OHS1,W,53.20,2281985,1107,1354200,338950,146235,436600,6000,27733851,21357297,0,14669964,6687326,22443213
NO,PAC,N00033177,Tim Kaine (D),D,VAS1,W,57.00,1970373,956,1334831,207350,81507,339185,7500,21453807,12336368,0,9484047,2852313,18473726
NO,PAC,N00007248,Devin Nunes (R),R,CA22,W,55.20,1396278,670,1313084,1500,42194,38500,1000,11643678,10224784,0,4516947,5707837,9977823
NO,PAC,N00033106,Ann L Wagner (R),R,MO02,W,51.30,1349050,613,1255300,5000,29250,59500,0,2898768,1460868,0,1443297,17571,3165287
NO,PAC,N00037031,Darin LaHood (R),R,IL18,W,67.20,1405824,809,1255124,66500,31700,52500,0,2378485,907619,0,790945,116674,863174
NO,PAC,N00031226,Jackie Walorski (R),R,IN02,W,54.80,1367114,866,1245541,5500,43573,71500,1000,2668864,917725,0,823574,94151,2246116
NO,PAC,N00004133,Fred Upton (R),R,MI06,W,50.20,1538799,684,1242349,70500,44000,181700,250,2894922,1100394,0,1022804,77590,2568876
NO,PAC,N00035282,Jason Smith (R),R,MO08,W,73.40,1297672,778,1235422,3000,23750,34500,1000,1907702,419676,0,406635,13041,1220707
NO,PAC,N00033630,Richard Hudson (R),R,NC08,W,55.40,1354284,771,1229784,24000,24500,72000,4000,2286871,887830,0,845024,42806,1534614
NO,PAC,N00030967,Sean P Duffy (R),R,WI07,W,60.10,1346650,793,1227400,47500,33500,37000,1250,3394896,1798898,0,1597575,201323,2567785
NO,PAC,N00030622,Terri A Sewell (D),D,AL07,W,0.00,1335398,814,1224148,72000,18250,20000,1000,1633321,316437,0,301292,15146,1027116
NO,PAC,N00033591,Scott Peters (D),D,CA52,W,62.80,1460537,943,1219337,71000,87100,83100,0,2637154,1115949,51395,935488,180461,1448673
NO,PAC,N00030673,Bill Huizenga (R),R,MI02,W,55.30,1273102,723,1207602,4500,18000,43000,0,1987840,670024,0,606142,63882,1853820
NO,PAC,N00029835,Martin Heinrich (D),D,NMS1,W,54.00,1808912,896,1205740,176000,93829,329843,3500,8318909,5220769,0,4243662,977102,7058344
NO,PAC,N00032838,Joe Manchin (D),D,WVS1,W,49.60,1835097,844,1194607,221000,61390,358100,0,9066188,5854823,0,5490019,364800,7661313
NO,PAC,N00026041,Mike Conaway (R),R,TX11,W,80.20,1212371,604,1174371,9000,12000,16000,1000,2206795,886573,0,805782,80791,2425081
NO,PAC,N00013323,Sam Graves (R),R,MO06,W,65.40,1340010,795,1167010,132000,14500,25500,1000,1691411,291039,0,271775,19264,1506196
NO,PAC,N00002408,James E Clyburn (D),D,SC06,W,70.10,1412519,649,1164660,229260,17599,0,1000,1825859,232284,0,192686,39598,1699317
NO,PAC,N00030768,Martha Roby (R),R,AL02,W,61.50,1622850,828,1134850,8000,95000,385000,0,2494868,787217,0,741087,46130,2088782
NO,PAC,N00012508,Tom Carper (D),D,DES1,W,60.00,1428930,730,1128030,49500,32900,208500,10000,4070561,1590339,0,1463512,126825,4171231
NO,PAC,N00030788,Tom Graves (R),R,GA14,W,76.50,1189265,704,1124515,17000,14500,33250,0,1944661,654788,0,647364,7424,846701
NO,PAC,N00030071,Kurt Schrader (D),D,OR05,W,55.00,1195234,745,1067456,78000,38778,8500,2500,2060338,603489,0,544183,59305,831030
NO,PAC,N00007364,Dianne Feinstein (D),D,CAS2,W,54.50,1424299,678,1058450,86000,72649,207200,0,16568626,5443712,5006050,4257101,1186608,13215794
NO,PAC,N00007419,Mike Thompson (D),D,CA05,W,78.20,1199528,620,1052309,115000,29219,2000,1000,1947557,737197,0,582361,154836,1859091
NO,PAC,N00027626,Vernon Buchanan (R),R,FL16,W,54.60,1204266,560,1045016,6000,42250,111000,0,2706870,968250,500000,948065,20185,3714952
NO,PAC,N00001955,Ben Cardin (D),D,MDS1,W,64.90,1472126,800,1039543,182500,79583,162500,8000,5066335,2733971,0,2584489,149478,4397223
NO,PAC,N00031417,Will Hurd (R),R,TX23,W,49.20,1425635,756,1037564,23000,88229,276842,0,4744721,1621038,0,1276835,344203,4372836
NO,PAC,N00036944,Josh Gottheimer (D),D,NJ05,W,55.20,1544476,896,1037126,163000,156950,177400,10000,6373223,4799520,0,4597285,202235,1613539
NO,PAC,N00035346,Buddy Carter (R),R,GA01,W,57.80,1083049,638,1020637,14000,14053,33359,1000,1659101,824115,0,759175,64940,858951
NO,PAC,N00033390,Cheri Bustos (D),D,IL17,W,62.10,1551478,918,1020100,293433,119245,117700,1000,3642480,2033637,0,1578542,455095,2768736
NO,PAC,N00038429,Trey Hollingsworth (R),R,IN09,W,56.50,1077950,704,1000005,14500,20445,43000,0,1384559,322156,747,305387,16769,945593
NO,PAC,N00027500,Amy Klobuchar (D),D,MNS2,W,60.30,1560230,759,990323,194000,99807,276100,0,9981489,7179317,0,4993012,2186301,7542349
NO,PAC,N00035523,Elise Stefanik (R),R,NY21,W,56.70,1396639,838,990212,73500,108586,203841,20500,2640796,1005814,0,879041,126773,1923595
NO,PAC,N00025219,Michael Burgess (R),R,TX26,W,59.40,1049229,527,976329,9000,18500,45400,0,1562142,516560,0,486888,29672,1551353
NO,PAC,N00000575,John B Larson (D),D,CT01,W,63.70,1127293,627,958993,154800,10500,3000,0,1602225,473179,0,405462,67716,1583992
NO,PAC,N00024978,Henry Cuellar (D),D,TX28,W,84.40,1033370,595,956375,42000,32745,250,2000,1541766,503170,13500,497408,5762,1087078
NO,PAC,N00035440,Tom Emmer (R),R,MN06,W,61.20,1140817,665,956223,86500,35094,62000,1000,2115263,782421,0,638435,143987,1859781
NO,PAC,N00012233,Robert E Latta (R),R,OH05,W,62.50,984110,679,930070,9000,15770,28270,1000,1519154,475906,0,420470,55436,1311178
NO,PAC,N00029562,Ben R Lujan (D),D,NM03,W,63.30,1110253,587,923998,146000,30755,7000,2500,1858353,576884,0,489788,87096,2061682
NO,PAC,N00025337,Mario Diaz-Balart (R),R,FL25,W,60.50,1284839,621,923985,175000,76250,109584,20,2111135,859722,0,853820,5902,1907598
NO,PAC,N00035380,Bradley Byrne (R),R,AL01,W,63.30,976850,600,905100,18500,23250,27000,3000,1324946,274717,0,264612,10105,662610
NO,PAC,N00027566,Christopher S Murphy (D),D,CTS1,W,59.40,1293561,666,904393,119000,71168,199000,0,14589142,12675865,0,8734793,3941064,9282897
NO,PAC,N00031545,Bill Flores (R),R,TX17,W,56.90,938776,581,900276,16000,7500,15000,0,1231487,306243,0,296876,9367,865452
NO,PAC,N00036135,Garret Graves (R),R,LA06,W,69.50,978351,622,898268,30583,19000,29500,1000,2242934,548175,11,542505,5670,1027436
NO,PAC,N00026368,Tim Walberg (R),R,MI07,W,53.80,1041213,616,890813,0,30000,119400,1000,2039041,942951,0,819313,123638,1339485
NO,PAC,N00024870,Linda Sanchez (D),D,CA38,W,67.50,1089411,629,888661,182500,14250,4000,0,1632598,370153,600,340469,29684,1299732
NO,PAC,N00032088,Bill Johnson (R),R,OH06,W,69.30,1069199,647,888499,106050,27250,47400,0,1824414,778088,0,730251,47837,1552533
NO,PAC,N00027623,Adrian Smith (R),R,NE03,W,76.70,941590,583,885590,5000,18500,31500,1000,1167263,239844,0,219725,20119,1524716
NO,PAC,N00003028,Robert B Aderholt (R),R,AL04,W,79.90,928843,527,881943,16000,9900,17500,3500,1485120,453814,0,430365,23449,851138
NO,PAC,N00026166,Virginia Foxx (R),R,NC05,W,57.20,944107,499,881630,2500,25477,24500,10000,2095324,1147205,0,1103269,43936,1689357
NO,PAC,N00004558,Collin Peterson (D),D,MN07,W,52.10,1017175,521,873513,89000,34100,19562,1000,1424843,290017,0,224964,65052,1439517
NO,PAC,N00030717,Ami Bera (D),D,CA07,W,54.30,1121697,655,867197,54900,105000,93600,1000,2792846,1675683,21,1401582,274101,1371426
NO,PAC,N00025726,Tom Cole (R),R,OK04,W,63.10,967107,576,862707,56000,34400,11500,2500,1806114,821704,0,797475,24229,1790651
NO,PAC,N00035792,French Hill (R),R,AR02,W,52.10,991277,517,861777,5000,26000,98500,0,2724802,1553171,0,1474510,78661,2843741
NO,PAC,N00006267,Mike Crapo (R),R,IDS2,L,NA,870325,452,861325,3500,4000,1500,0,6736737,3568514,0,2448880,119632,6462634
NO,PAC,N00004367,Tammy Baldwin (D),D,WIS1,W,55.40,1680755,828,855300,242505,192388,388562,2000,29044284,25591511,0,15346739,10244760,26747406
NO,PAC,N00033085,Ted Cruz (R),R,TXS2,W,50.90,1202282,452,851432,6500,104150,240200,0,40118702,28842608,0,16463696,12378909,33896025
NO,PAC,N00024871,David Scott (D),D,GA13,W,76.20,971277,415,850749,88500,18028,14000,0,1099187,65084,0,62600,2484,1050126
NO,PAC,N00035934,John Katko (R),R,NY24,W,53.10,1271499,745,842006,138000,98521,191472,1500,2524478,858811,0,783940,74871,2287569
NO,PAC,N00033410,Markwayne Mullin (R),R,OK02,W,65.00,922583,551,840093,3000,16090,62400,1000,1459281,465594,0,446570,19024,1342372
NO,PAC,N00030676,Billy Long (R),R,MO07,W,66.30,899522,536,838642,5000,17500,32880,5500,1527112,503880,0,488430,15450,1149689
NO,PAC,N00029285,Pete Olson (R),R,TX22,W,51.40,919540,564,838155,2500,27385,51500,0,1441469,525600,0,505644,19956,1663229
NO,PAC,N00026341,Jim Costa (D),D,CA16,W,55.00,1000390,570,837190,52500,61000,47700,2000,1828442,775175,0,770689,4485,2296881
NO,PAC,N00027510,Ed Perlmutter (D),D,CO07,W,60.40,1048569,563,836069,129500,28500,54500,0,1741714,630578,0,491750,138828,1304691
NO,PAC,N00035007,David P Joyce (R),R,OH14,W,55.40,1265004,677,835854,249250,60000,110400,9500,2547525,1200307,0,1154826,45482,2662393
NO,PAC,N00033832,Tom Rice (R),R,SC07,W,59.60,861799,528,827799,3000,6500,22000,2500,1501637,630337,0,623162,7175,906711
NO,PAC,N00026710,Kenny Marchant (R),R,TX24,W,50.70,856684,483,822884,7500,8300,17000,1000,1222000,256713,0,253615,3098,1089727
NO,PAC,N00030667,Adam Kinzinger (R),R,IL16,W,59.10,996185,518,818285,63500,64200,49200,1000,1772985,457424,0,411051,46373,2170975
NO,PAC,N00034453,Derek Kilmer (D),D,WA06,W,63.90,956321,630,811721,118500,22600,3500,0,2273300,1104933,0,969145,135788,1257122
NO,PAC,N00040133,Stephanie Murphy (D),D,FL07,W,57.70,1407574,871,806493,144500,213231,237350,6000,3017120,1600917,0,1353964,246952,2276547
NO,PAC,N00030693,Suzan DelBene (D),D,WA01,W,59.30,884879,549,785379,79000,11000,9500,0,2001731,952886,0,804910,147976,1353123
NO,PAC,N00029070,Jim Himes (D),D,CT04,W,60.90,825206,497,783973,20000,21233,0,0,1902884,886431,0,734622,151809,1366938
NO,PAC,N00005559,Frank D Lucas (R),R,OK03,W,73.90,815053,467,783353,1000,9200,21500,0,1030837,130957,0,127422,3535,849735
NO,PAC,N00033518,Doug Collins (R),R,GA09,W,79.50,844050,490,780550,10500,13500,39500,0,1306992,465884,0,424330,41554,606919
NO,PAC,N00033527,David Rouzer (R),R,NC07,W,55.60,836650,553,771400,22000,11250,30000,2000,1455662,606090,0,588089,18001,880700
NO,PAC,N00007360,Nancy Pelosi (D),D,CA12,W,86.80,1028700,392,768700,218500,39000,0,2500,4010778,2648920,0,1359589,1289331,4495903
NO,PAC,N00006460,David Schweikert (R),R,AZ06,W,55.30,820150,525,765150,2500,9000,42500,1000,1547683,420757,0,398103,22655,1332697
NO,PAC,N00043298,Cindy Hyde-Smith (R),R,MSS1,W,41.20,1036047,417,764097,4000,41950,226000,0,3558567,2165673,0,2034515,131158,3354107
NO,PAC,N00034580,Angus King (I),I,MES1,W,0.00,1130730,622,763431,173166,43133,151000,0,5415277,4001609,84649,3345072,656535,4907840
NO,PAC,N00000699,Robert Menendez (D),D,NJS1,W,53.70,1330987,556,756743,161100,139800,273344,0,11453442,8213845,0,7867318,346521,11047953
NO,PAC,N00037049,Don Bacon (R),R,NE02,W,51.60,1150036,666,743374,65000,101850,239812,0,2481591,964647,2764,845169,119478,1843439
NO,PAC,N00035420,Mike Bost (R),R,IL12,W,51.60,1306696,740,741406,166500,117357,281433,0,2596571,964297,0,867026,97271,2371973
NO,PAC,N00027462,Gus Bilirakis (R),R,FL12,W,58.10,773570,463,727967,2000,8000,35603,0,1850840,960274,0,873565,86709,1550488
NO,PAC,N00024852,John Cornyn (R),R,TXS1,L,NA,739859,372,720359,3000,5500,10000,1000,18063271,9685740,0,8919060,766681,15261246
NO,PAC,N00029404,Lee Zeldin (R),R,NY01,W,52.50,985224,577,716900,91900,71724,100300,4400,4194228,2694126,0,1972874,721252,3141654
NO,PAC,N00000751,Bill Pascrell Jr. (D),D,NJ09,W,70.00,926609,581,714499,204110,6000,2000,0,1543127,610766,0,599945,10821,1173249
NO,PAC,N00033997,Pete Aguilar (D),D,CA31,W,56.90,928102,538,695702,162000,41000,29400,0,2540651,1579590,0,1111548,468041,2065448
NO,PAC,N00030184,Cedric Richmond (D),D,LA02,W,80.60,925633,539,689257,204876,17000,13500,1000,1469237,340618,0,329190,11428,1069050
NO,PAC,N00024759,Mike D Rogers (R),R,AL03,W,63.80,751220,461,688520,15500,21200,25000,1000,1219288,460557,0,450890,9667,857388
NO,PAC,N00008799,Kay Granger (R),R,TX12,W,64.30,743573,373,687573,17500,20000,17500,1000,1927528,1200762,0,1165209,35553,1652964
NO,PAC,N00025095,John Carter (R),R,TX31,W,50.60,935306,536,686914,38000,58962,150430,1000,1641823,754017,0,727096,26921,1492248
NO,PAC,N00033373,Tony Cardenas (D),D,CA29,W,79.70,849424,501,685834,114000,41090,8500,0,1387945,568182,0,511455,56727,1307291
NO,PAC,N00026460,Michael McCaul (R),R,TX10,W,50.90,725184,413,681434,17000,20750,6000,0,1618946,822518,0,803745,18773,1475460
NO,PAC,N00027459,Doris O Matsui (D),D,CA06,W,80.90,764303,453,673803,84500,6000,0,0,1019251,246186,0,219920,26266,1046817
NO,PAC,N00033510,Raul Ruiz (D),D,CA36,W,57.00,1060825,626,671975,122250,126200,140400,0,3002014,1835154,0,1450196,384958,2088581
NO,PAC,N00033101,Brad Schneider (D),D,IL10,W,65.60,1117928,730,648103,174500,160925,133400,1000,4099305,3153640,0,2278313,875327,2981616
NO,PAC,N00039330,Mike Gallagher (R),R,WI08,W,63.70,848135,472,641835,20200,89700,96400,0,2720558,1836074,0,1805425,30649,1843913
NO,PAC,N00037034,Roger Marshall (R),R,KS01,W,68.20,738412,468,639358,14000,22500,61554,1000,1188698,362608,0,346792,15816,473735
NO,PAC,N00027741,David Loebsack (D),D,IA02,W,54.80,1046050,602,638900,188500,91050,124100,3500,1966822,897437,0,711154,186283,1638781
NO,PAC,N00035492,Thom Tillis (R),R,NCS1,L,NA,669900,384,638400,4500,6000,20000,1000,13027787,9044328,250000,7682241,1362080,11787783
NO,PAC,N00030196,Paul Tonko (D),D,NY20,W,66.10,825237,527,631750,157888,32099,2500,1000,1255208,432447,0,273733,158714,996490
NO,PAC,N00030245,Bill Cassidy (R),R,LAS1,L,NA,641500,390,630500,2000,5000,3000,1000,19118296,12920733,0,11599281,1321450,16555714
NO,PAC,N00033495,Susan Brooks (R),R,IN05,W,56.80,726217,450,625217,15500,33000,42500,10000,1346176,492063,0,457106,34957,1421686
NO,PAC,N00003389,Mitch McConnell (R),R,KYS1,L,NA,679396,275,623313,13700,23300,19083,0,25851995,14240679,1800000,13036655,1204016,29871757
NO,PAC,N00000078,Carolyn B Maloney (D),D,NY12,W,86.20,825134,459,621405,150650,41079,12500,-500,2052940,1170284,0,1079293,90990,2347730
NO,PAC,N00036154,Don Norcross (D),D,NJ01,W,64.30,942506,567,620006,288800,19200,14500,0,2014388,1096271,0,1075750,20521,1250028
